model,nodes_list,hidden_layers,activation_function,learning_rate,batch_norm,initializer_name,optimizer_name,batch_size,clipnorm,train_loss,val_loss,epochs,train_time,min_val_loss,min_train_loss
model_111,"[5000, 2500, 1250, 750, 250, 100, 50]",7,elu,0.001,TRUE,he_avg_uniform,Adam,28,FALSE,"[1466.9927978515625, 1208.5313720703125, 1101.0302734375, 1008.1781616210938, 949.4625854492188, 896.44482421875, 860.73583984375, 822.5048217773438, 792.499755859375, 767.0115966796875, 746.6646118164062, 722.0430908203125, 709.4226684570312, 700.6883544921875, 673.5552978515625, 660.0145263671875, 638.140869140625, 639.7745971679688, 616.2227783203125]","[1469.99951171875, 1389.6300048828125, 1680.478515625, 1383.1158447265625, 1539.014404296875, 1564.52734375, 1682.52880859375, 1308.3167724609375, 1579.355224609375, 1260.802001953125, 1327.0703125, 1458.861328125, 1544.5872802734375, 1239.000732421875, 1424.78369140625, 1297.719482421875, 1239.34521484375, 1489.36474609375, 1341.819091796875]",19,33656.23278,1239.000732,616.2227783
model_2,"[1000, 500]",2,sigmoid,0.001,TRUE,untruncated_normal,RMSprop,28,FALSE,"[1521.0152587890625, 1269.8326416015625, 1164.714599609375, 1093.56103515625, 1025.191162109375, 977.3121337890625]","[1305.001220703125, 1584.9666748046875, 1522.1531982421875, 1516.4114990234375, 1534.9403076171875, 1510.3734130859375]",6,1003.21245,1305.001221,977.3121338
model_25,"[5000, 2500, 1250]",3,sigmoid,0.001,TRUE,uniform,Adam,28,FALSE,"[1441.80126953125, 1181.028564453125, 1072.719970703125, 991.2809448242188, 940.5071411132812, 902.0816040039062, 858.6170043945312, 820.7003173828125, 792.3826904296875, 775.493896484375]","[1441.68359375, 1585.5205078125, 1341.5811767578125, 1469.3721923828125, 1319.2265625, 1643.7998046875, 1328.52197265625, 1460.60205078125, 1329.150634765625, 1563.8314208984375]",10,10434.87293,1319.226563,775.4938965
model_14,"[1000, 500, 250, 125, 75, 25]",6,elu,0.001,TRUE,he_avg_uniform,RMSprop,28,FALSE,"[1503.0958251953125, 1229.898681640625, 1117.3580322265625, 1039.51416015625, 986.1276245117188, 933.4491577148438, 890.8416137695312, 858.5659790039062, 837.0889282226562, 812.4248657226562, 781.1253051757812, 772.01513671875]","[1765.193115234375, 1742.830810546875, 1552.134765625, 1656.874755859375, 1492.13720703125, 1424.6239013671875, 1322.729736328125, 1591.0167236328125, 1326.746337890625, 1350.053955078125, 1463.8958740234375, 1665.8326416015625]",12,1878.351712,1322.729736,772.0151367
model_4,"[1000, 500, 250, 125, 75, 25]",6,elu,0.001,TRUE,he_uniform,plain SGD,28,FALSE,"[1535.8636474609375, 1339.1390380859375, 1186.5333251953125, 1112.126708984375, 1035.9180908203125, 997.1539306640625, 940.4338989257812, 927.7607421875, 851.9840087890625, 854.3764038085938]","[1944.050048828125, 1443.9490966796875, 1476.1328125, 1655.8409423828125, 1322.8890380859375, 1460.5072021484375, 1653.2791748046875, 1471.8988037109375, 1430.27734375, 1466.5916748046875]",10,1493.817537,1322.889038,851.9840088
,,9,elu,0.0005,TRUE,he_avg_normal,Adam,50,FALSE,,,8,,1332.263428,
model_111,"[5000, 2500, 1250, 750, 250, 100, 50]",7,elu,0.001,TRUE,he_avg_uniform,Adam,28,FALSE,"[1473.8280029296875, 1213.3172607421875, 1099.86279296875, 1008.8970947265625, 942.3031616210938, 883.7012939453125, 855.0906982421875, 814.0679321289062, 775.7998657226562, 757.8457641601562]","[1525.658935546875, 1708.32666015625, 1507.3021240234375, 1551.2923583984375, 1333.960205078125, 1814.7503662109375, 1426.1737060546875, 1534.3546142578125, 1487.821044921875, 1410.7647705078125]",10,8389.738245,1333.960205,757.8457642
model_10,"[1000, 500, 250, 125, 75, 25]",6,sigmoid,0.001,FALSE,uniform,RMSprop,28,FALSE,"[6724833.5, 1617.408447265625, 1381.0455322265625, 1287.8546142578125, 1241.020263671875, 1203.453857421875, 1183.5147705078125, 1165.9285888671875]","[1502.3538818359375, 1396.462890625, 1366.6376953125, 1433.64990234375, 1434.5921630859375, 1404.093994140625, 1392.162109375, 1402.7724609375]",8,1371.323023,1366.637695,1165.928589
model_40_2,"[1000, 500, 250, 125, 75, 25]",6,elu,0.005,TRUE,he_avg_normal,RMSprop,28,FALSE,"[1417.2918701171875, 1162.294189453125, 1045.587890625, 968.883056640625, 905.0325317382812, 858.2450561523438, 823.1803588867188, 806.9261474609375, 769.7935180664062, 745.0216674804688]","[1555.94580078125, 1467.0313720703125, 1481.23291015625, 1446.06982421875, 1383.8135986328125, 1489.4664306640625, 1439.0731201171875, 1426.8887939453125, 1374.8834228515625, 1367.5023193359375]",10,2633.510633,1367.502319,745.0216675
model_86,"[5000, 2500, 1250, 750, 250, 100, 50]",7,sigmoid,0.1,TRUE,untruncated_normal,RMSprop,28,FALSE,"[1546.883056640625, 1370.9923095703125, 1306.4871826171875, 1232.4197998046875, 1188.419677734375, 1147.1248779296875, 1126.7864990234375, 1109.827392578125, 1084.8748779296875, 1056.2020263671875, 1038.8919677734375, 1029.9278564453125, 1011.92431640625, 1008.98974609375]","[2111.83251953125, 1713.0255126953125, 2093.39892578125, 1558.715576171875, 1728.8201904296875, 2058.92529296875, 1521.613037109375, 2114.266357421875, 1370.681884765625, 1782.22021484375, 2772.997802734375, 1412.1121826171875, 1390.0845947265625, 1552.64111328125]",14,20535.34769,1370.681885,1008.989746
